hh_income,education,hh_lifeCycle,occupation_type,age,sex,hh_size,motif,resType
10,4,2,2,73,2,2,HWH,5
6,3,1,2,61,2,1,HWH,7
7,4,2,2,40,2,2,HWOH,7
8,4,6,2,32,2,3,HWH,8
8,4,2,2,52,2,3,HWOH,8
8,3,6,2,39,2,3,HWH,6
5,3,1,2,27,1,1,HWOH,4
9,5,2,2,28,2,2,HOH,5
7,4,6,2,49,2,4,HWOH,5
9,5,2,2,51,2,2,HWH,5
7,4,8,2,53,2,4,HWOH,7
9,3,6,2,44,2,4,HWOH,5
7,4,2,2,40,2,2,HWOH,7
6,3,1,2,61,2,1,HWH,7
6,2,2,2,53,2,2,HOOH,3
4,3,5,2,52,2,3,HWOH,5
10,3,2,2,54,2,2,HOWH,1
5,3,1,2,27,1,1,HWOH,4
7,4,8,2,53,2,4,HWOH,7
5,4,6,2,49,2,5,HWH,7
9,5,2,2,51,2,2,HWH,5
7,4,2,2,40,2,2,HWOH,7
5,4,6,2,49,2,5,HWH,7
6,3,1,2,66,1,1,HWOWH,1
5,2,7,2,42,2,2,HWH,1
7,4,2,2,29,2,2,HWH,1
5,4,2,2,29,1,2,HWOWH,2
7,4,2,2,29,2,2,HWH,1
5,3,1,2,27,1,1,HWOH,4
10,3,2,2,54,2,2,HOWH,1
7,4,6,2,49,2,4,HWOH,5
6,3,1,2,66,1,1,HWOWH,1
6,2,2,2,25,1,3,HWH,8
7,4,8,2,53,2,4,HWOH,7
7,4,2,2,40,2,2,HWOH,7
8,3,2,2,57,2,2,HWH,2
10,4,2,2,73,2,2,HWH,5
5,3,10,2,74,2,2,HWOH,5
9,5,2,2,51,2,2,HWH,5
4,3,5,2,52,2,3,HWOH,5
6,3,2,2,59,1,2,HWH,4
6,3,1,2,66,1,1,HWOWH,1
9,5,2,2,28,2,2,HOH,5
8,3,2,2,57,2,2,HWH,2
6,3,1,2,70,2,1,HWH,1
6,3,1,2,61,2,1,HWH,7
7,3,2,2,60,2,2,HOWH,5
6,2,2,2,53,2,2,HOOH,3
8,4,6,2,32,2,3,HWH,8
6,3,1,2,61,2,1,HWH,7
