hh_income,education,hh_lifeCycle,occupation_type,age,sex,hh_size,motif,resType
11,1,8,5,16,2,4,HWH,8
11,1,6,5,16,1,5,HWH,8
10,1,4,5,16,2,4,HWH,7
9,1,6,5,16,1,4,HOH,8
9,1,6,5,16,1,4,HOH,8
11,1,6,5,17,2,4,HWH,8
10,1,8,5,16,2,3,HOH,8
10,1,8,5,16,2,3,HOH,7
9,1,8,5,17,1,4,HWH,8
10,1,8,5,16,2,3,HOH,8
7,1,7,5,16,1,2,HOOH,2
10,1,8,5,16,2,3,HOH,7
4,1,6,5,16,2,4,HWH,7
10,1,6,5,17,2,4,HWOWH,8
11,1,6,5,17,2,4,HWH,8
10,1,6,5,17,2,4,HWOWH,8
10,1,6,5,17,2,4,HWOWH,8
9,1,8,5,17,1,4,HWH,8
9,1,8,5,17,1,4,HWH,8
11,1,6,5,16,1,5,HWH,8
10,1,8,5,16,2,3,HOH,7
10,1,4,5,16,2,4,HWH,7
11,1,8,5,16,2,4,HWH,8
9,1,8,5,17,1,4,HWH,8
9,1,6,5,16,1,4,HOH,8
10,1,8,5,17,2,3,HOH,8
7,1,7,5,16,1,2,HOOH,2
9,1,6,5,17,1,5,HWH,6
10,1,8,5,16,2,3,HOH,8
4,1,6,5,16,2,4,HWH,7
4,1,5,5,16,2,3,HOH,6
1,1,8,5,16,1,3,HWH,6
2,1,6,5,17,2,5,HWH,6
4,1,5,5,16,2,3,HOH,6
11,1,6,5,16,1,5,HWH,8
2,1,6,5,17,2,5,HWH,6
10,1,8,5,17,2,3,HOH,8
10,1,8,5,16,2,3,HOH,8
11,1,6,5,17,2,4,HWH,8
11,1,6,5,17,2,4,HWH,8
10,1,6,5,16,2,5,HOWH,8
9,1,6,5,16,1,4,HOH,8
11,1,6,5,16,1,5,HWH,8
4,1,6,5,16,2,4,HWH,7
7,1,7,5,16,1,2,HOOH,2
9,1,6,5,16,1,4,HOH,8
7,1,6,5,16,2,4,HWH,4
4,1,5,5,16,2,3,HOH,6
1,1,8,5,16,1,3,HWH,6
10,1,6,5,17,2,4,HWOWH,8
