hh_income,education,hh_lifeCycle,occupation_type,age,sex,hh_size,motif,resType
7,2,4,3,58,1,4,HOWH,5
6,3,1,3,37,1,1,HWH,5
5,3,2,3,56,1,2,HOWOH,3
8,4,2,3,38,1,2,HWH,2
4,3,1,3,55,2,1,HWH,1
3,2,5,3,18,1,3,HWH,6
6,2,1,3,55,2,1,HWOH,1
8,3,4,3,37,1,7,HWH,5
8,3,6,3,58,1,3,HWH,5
11,5,6,3,46,2,5,HOOH,8
2,3,2,3,36,1,4,HWH,6
8,4,2,3,38,1,2,HWH,2
8,2,2,3,52,1,2,HOWH,5
7,3,2,3,55,1,2,HOWH,5
3,2,5,3,18,1,3,HWH,6
6,3,2,3,69,1,3,HWWH,4
7,2,6,3,50,1,3,HOWH,7
8,2,2,3,52,1,2,HOWH,5
3,2,5,3,18,1,3,HWH,6
5,3,10,3,72,1,2,HWH,4
7,2,4,3,58,1,4,HOWH,5
8,2,2,3,42,1,2,HWOH,4
10,4,2,3,46,1,2,HWOH,5
6,2,1,3,49,1,1,HWOH,5
10,4,2,3,46,1,2,HWOH,5
5,3,2,3,56,1,2,HOWOH,3
10,2,2,3,59,1,2,HWH,5
9,4,2,3,62,1,3,HWWH,8
6,3,2,3,25,1,2,HWH,3
6,2,1,3,49,1,1,HWOH,5
10,3,2,3,54,1,2,HOWH,2
8,4,2,3,38,1,2,HWH,2
8,3,4,3,37,1,7,HWH,5
2,5,6,3,28,2,3,HWH,7
7,4,2,3,63,1,2,HWH,5
8,2,2,3,52,1,2,HOWH,5
8,4,4,3,33,1,4,HOWOH,8
10,4,2,3,46,1,2,HWOH,5
6,3,1,3,58,1,1,HWOWH,2
7,3,2,3,55,1,2,HOWH,5
8,3,6,3,58,1,3,HWH,5
10,4,2,3,46,1,2,HWOH,5
7,4,2,3,63,1,2,HWH,5
11,5,6,3,46,2,5,HOOH,8
8,4,2,3,38,1,2,HWH,2
4,3,10,3,55,1,2,HWWH,4
5,3,2,3,56,1,2,HOWOH,3
6,2,1,3,55,2,1,HWOH,1
4,3,2,3,64,1,2,HOH,4
5,4,2,3,30,2,2,HWWH,6
